city_name,PC1_loading,PC2_loading,PC3_loading,A1301,A1302,A1303,A4101,A4200,A5101,A5102,A7101,A710101
かすみがうら市,0.163337414535937,0.14354532562988837,-0.008162727450897935,4376.0,22859.0,12779.0,176.0,594.0,1248.0,1239.0,15271.0,15230.0
つくばみらい市,-0.07047318569467367,0.20301761060348847,0.18452456020091967,7350.0,27180.0,13152.0,388.0,573.0,2218.0,1685.0,19971.0,19955.0
つくば市,-0.04854342496507487,0.215254840130212,0.0843952118989335,34645.0,143552.0,45697.0,2178.0,2090.0,13095.0,10637.0,110490.0,110344.0
ひたちなか市,-0.0022075693035274327,0.22163322318286827,0.00443931787644373,19610.0,93439.0,40234.0,988.0,1704.0,4909.0,5002.0,66754.0,66619.0
下妻市,0.12382701911136994,0.17461584832342808,-0.1641777109963645,5034.0,24731.0,12043.0,204.0,575.0,1138.0,1316.0,16407.0,16283.0
五霞町,0.19247757796915738,0.056662148600650226,-0.2371006120386606,730.0,4544.0,2732.0,22.0,122.0,184.0,192.0,2928.0,2926.0
八千代町,0.21170182658274528,-0.021708905371990776,0.06975906101057168,2369.0,12114.0,6459.0,84.0,326.0,280.0,472.0,7017.0,6999.0
利根町,0.14260861004472025,0.1048063870325894,0.4759699143733176,1196.0,7227.0,6903.0,35.0,237.0,305.0,327.0,6258.0,6245.0
北茨城市,0.209395056166457,-0.03265341422710924,0.11361339023565901,4368.0,22846.0,14335.0,200.0,657.0,790.0,1043.0,17042.0,17011.0
取手市,0.1316892235145594,0.15047016141128544,0.3314417362657704,10593.0,56760.0,36052.0,500.0,1439.0,3453.0,3090.0,45447.0,45348.0
古河市,0.07828940069594867,0.2049626368187475,0.0397728385645453,16213.0,82127.0,39691.0,768.0,1761.0,3683.0,3696.0,56149.0,56075.0
土浦市,0.042160554000759326,0.2162458007422262,-0.01259867204135633,15510.0,82307.0,40903.0,775.0,1788.0,6201.0,5574.0,63093.0,62961.0
坂東市,0.21209884681632937,0.006743137860678614,0.10110967120995622,5897.0,30067.0,15772.0,245.0,708.0,941.0,1207.0,18452.0,18405.0
城里町,0.1940032714441751,0.012085726717552678,-0.3356119463498457,1559.0,9746.0,6774.0,57.0,342.0,374.0,380.0,6913.0,6904.0
境町,0.20941993031946982,-0.0023997602942973147,0.08288502299632133,2912.0,14152.0,7018.0,123.0,339.0,682.0,753.0,8722.0,8709.0
大子町,0.13640345083230118,-0.1710273950804619,0.04259456527904964,1183.0,7262.0,7266.0,41.0,374.0,197.0,319.0,6356.0,6333.0
大洗町,0.1569802677615957,-0.15092417488529464,-0.010134511674641198,1538.0,8766.0,5225.0,48.0,260.0,312.0,424.0,6596.0,6581.0
守谷市,-0.030610048345435893,0.21813013334697887,-0.07175846054037108,10301.0,41920.0,15847.0,510.0,560.0,2585.0,2341.0,27385.0,27367.0
小美玉市,0.10083696966201008,0.1912162011451198,-0.1567987337950922,5631.0,28053.0,14724.0,254.0,684.0,1325.0,1531.0,18407.0,18322.0
常総市,0.1877941083256777,0.09821355622827117,-0.09351541878323423,6942.0,35001.0,18316.0,239.0,835.0,1289.0,1593.0,22289.0,22253.0
常陸大宮市,0.17307526480665889,-0.1299096179866808,-0.03511720384031208,3632.0,20414.0,14627.0,160.0,686.0,669.0,859.0,15643.0,15596.0
常陸太田市,0.19276692056738798,-0.08898221437184857,-0.14700791203586655,4303.0,25419.0,18808.0,180.0,824.0,778.0,1029.0,19243.0,19206.0
